GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
poker-model,org.generator.entities,TAdres1,17,0,0,0,7,0,5,0,5,0
poker-model,org.generator.entities,TPodmiotDowolny2.AdresZamieszkaniaSiedziby,15,0,2,0,6,0,4,0,3,0
poker-model,org.generator.entities,TOsobaFizyczna4.AdresZamieszkania,15,0,2,0,6,0,4,0,3,0
poker-model,org.generator.entities,TOsobaFizyczna,17,0,0,0,7,0,5,0,5,0
poker-model,org.generator.entities,JPK.Podmiot1,7,17,0,0,3,7,2,5,2,5
poker-model,org.generator.entities,JPK.FakturaWierszCtrl,6,11,0,0,2,5,2,3,2,3
poker-model,org.generator.entities,TOsobaNiefizyczna1.AdresSiedziby,15,0,2,0,6,0,4,0,3,0
poker-model,org.generator.entities,JPK,29,42,5,1,9,16,7,10,4,10
poker-model,org.generator.entities,TIdentyfikatorOsobyNiefizycznejZagranicznej,24,0,0,0,10,0,7,0,7,0
poker-model,org.generator.entities,JPK.Faktura,395,0,0,0,169,0,113,0,113,0
poker-model,org.generator.entities,TPodmiotDowolny1.AdresZamieszkaniaSiedziby,15,0,2,0,6,0,4,0,3,0
poker-model,org.generator.entities,TOsobaFizyczna3.AdresZamieszkania,15,0,2,0,6,0,4,0,3,0
poker-model,org.generator.entities,TOsobaFizycznaPelna,17,0,0,0,7,0,5,0,5,0
poker-model,org.generator.entities,TOsobaFizycznaPelna1.AdresZamieszkania,15,0,2,0,6,0,4,0,3,0
poker-model,org.generator.entities,TIdentyfikatorOsobyNiefizycznejPelny,31,0,0,0,13,0,9,0,9,0
poker-model,org.generator.entities,TIdentyfikatorOsobyFizycznej2,31,0,0,0,13,0,9,0,9,0
poker-model,org.generator.entities,TAdres,17,0,0,0,7,0,5,0,5,0
poker-model,org.generator.entities,TIdentyfikatorOsobyFizycznej1,38,0,0,0,16,0,11,0,11,0
poker-model,org.generator.entities,JPK.Naglowek,0,3,0,0,0,1,0,1,0,1
poker-model,org.generator.entities,TOsobaNiefizyczna.AdresSiedziby,15,0,2,0,6,0,4,0,3,0
poker-model,org.generator.entities,TOsobaFizyczna5,17,0,0,0,7,0,5,0,5,0
poker-model,org.generator.entities,TPodmiotDowolnyBezAdresu,17,0,0,0,7,0,5,0,5,0
poker-model,org.generator.entities,TOsobaFizyczna4,17,0,0,0,7,0,5,0,5,0
poker-model,org.generator.entities,TOsobaFizyczna3,17,0,0,0,7,0,5,0,5,0
poker-model,org.generator.entities,TOsobaFizyczna2,17,0,0,0,7,0,5,0,5,0
poker-model,org.generator.entities,TOsobaFizyczna1,17,0,0,0,7,0,5,0,5,0
poker-model,org.generator.entities,JPK.Zamowienie,28,0,2,0,10,0,7,0,6,0
poker-model,org.generator.entities,TOsobaFizycznaPelna1,17,0,0,0,7,0,5,0,5,0
poker-model,org.generator.entities,TIdentyfikatorOsobyNiefizycznej,24,0,0,0,10,0,7,0,7,0
poker-model,org.generator.entities,CurrCodeType,1005,0,0,0,169,0,3,0,3,0
poker-model,org.generator.entities,EULanguageCodeType,217,0,4,0,34,0,6,0,4,0
poker-model,org.generator.entities,TOsobaNiefizyczna2.AdresSiedziby,15,0,2,0,6,0,4,0,3,0
poker-model,org.generator.entities,TPodmiotDowolnyBezAdresu1,17,0,0,0,7,0,5,0,5,0
poker-model,org.generator.entities,TOsobaNiefizycznaPelna1.AdresSiedziby,15,0,2,0,6,0,4,0,3,0
poker-model,org.generator.entities,TPodmiotDowolnyBezAdresu2,17,0,0,0,7,0,5,0,5,0
poker-model,org.generator.entities,TPodmiotDowolnyBezAdresu3,17,0,0,0,7,0,5,0,5,0
poker-model,org.generator.entities,JPK.ZamowienieCtrl,17,0,0,0,7,0,5,0,5,0
poker-model,org.generator.entities,TOsobaNiefizycznaPelna1,17,0,0,0,7,0,5,0,5,0
poker-model,org.generator.entities,TAdresPolski1,3,63,0,0,1,27,1,18,1,18
poker-model,org.generator.entities,TPodmiotDowolnyPelny1,24,0,0,0,10,0,7,0,7,0
poker-model,org.generator.entities,ObjectFactory,267,0,0,0,68,0,67,0,67,0
poker-model,org.generator.entities,TIdentyfikatorOsobyFizycznejZagranicznej,52,0,0,0,22,0,15,0,15,0
poker-model,org.generator.entities,TOsobaFizyczna5.AdresZamieszkania,15,0,2,0,6,0,4,0,3,0
poker-model,org.generator.entities,TIdentyfikatorOsobyFizycznej,38,0,0,0,16,0,11,0,11,0
poker-model,org.generator.entities,TOsobaFizyczna1.AdresZamieszkania,15,0,2,0,6,0,4,0,3,0
poker-model,org.generator.entities,TOsobaNiefizyczna1,17,0,0,0,7,0,5,0,5,0
poker-model,org.generator.entities,TOsobaNiefizyczna2,17,0,0,0,7,0,5,0,5,0
poker-model,org.generator.entities,TOsobaNiefizycznaPelna,17,0,0,0,7,0,5,0,5,0
poker-model,org.generator.entities,TOsobaNiefizyczna,17,0,0,0,7,0,5,0,5,0
poker-model,org.generator.entities,TAdresPolski,73,0,0,0,31,0,21,0,21,0
poker-model,org.generator.entities,TIdentyfikatorOsobyFizycznejPelny,52,0,0,0,22,0,15,0,15,0
poker-model,org.generator.entities,TNaglowek.KodFormularza,0,34,0,4,0,14,0,9,0,7
poker-model,org.generator.entities,TPodmiotDowolnyPelny,24,0,0,0,10,0,7,0,7,0
poker-model,org.generator.entities,TPodmiotDowolnyPelny.AdresZamieszkaniaSiedziby,15,0,2,0,6,0,4,0,3,0
poker-model,org.generator.entities,JPK.Zamowienie.ZamowienieWiersz,52,0,0,0,22,0,15,0,15,0
poker-model,org.generator.entities,TPodmiotDowolnyPelny1.AdresZamieszkaniaSiedziby,15,0,2,0,6,0,4,0,3,0
poker-model,org.generator.entities,TOsobaNiefizycznaPelna.AdresSiedziby,15,0,2,0,6,0,4,0,3,0
poker-model,org.generator.entities,MSCurrCodeType,87,0,0,0,16,0,3,0,3,0
poker-model,org.generator.entities,JPK.FakturaCtrl,6,11,0,0,2,5,2,3,2,3
poker-model,org.generator.entities,TKodKraju,0,1503,0,0,0,252,0,3,0,3
poker-model,org.generator.entities,JPK.FakturaWiersz,73,0,0,0,31,0,21,0,21,0
poker-model,org.generator.entities,TPodmiotDowolny1,10,0,0,0,4,0,3,0,3,0
poker-model,org.generator.entities,TPodmiotDowolny2,10,0,0,0,4,0,3,0,3,0
poker-model,org.generator.entities,TKodFormularza,0,15,0,0,0,4,0,3,0,3
poker-model,org.generator.entities,TOsobaFizycznaPelna.AdresZamieszkania,15,0,2,0,6,0,4,0,3,0
poker-model,org.generator.entities,TAdresZagraniczny,45,0,0,0,19,0,13,0,13,0
poker-model,org.generator.entities,TPodmiotDowolny,10,0,0,0,4,0,3,0,3,0
poker-model,org.generator.entities,TNaglowek,21,31,0,0,9,13,6,9,6,9
poker-model,org.generator.entities,MSCountryCodeType,201,0,0,0,35,0,3,0,3,0
poker-model,org.generator.entities,CountryCodeExMSType,1335,0,0,0,224,0,3,0,3,0
poker-model,org.generator.entities,MSCurrCodeExPLNType,81,0,0,0,15,0,3,0,3,0
poker-model,org.generator.entities,TPodmiotDowolny.AdresZamieszkaniaSiedziby,15,0,2,0,6,0,4,0,3,0
poker-model,org.generator.entities,TIdentyfikatorOsobyNiefizycznej1,0,17,0,0,0,7,0,5,0,5
poker-model,org.generator.entities,TOsobaFizyczna.AdresZamieszkania,15,0,2,0,6,0,4,0,3,0
poker-model,org.generator.entities,TOsobaFizyczna2.AdresZamieszkania,15,0,2,0,6,0,4,0,3,0
poker-model,org.generator,XMLDriver,49,0,0,0,14,0,2,0,2,0
poker-model,org.generator,ParserXLSX,181,23,4,0,42,4,5,3,3,3
poker-model,org.generator,ParserCSV,168,0,2,0,37,0,5,0,4,0
poker-model,org.generator,App,83,0,6,0,26,0,5,0,2,0
poker-model,org.generator,WrapperJPK,272,160,10,0,71,41,17,4,12,4
